,name,number_reviews,rating,address,city
174,Milk Bar & Bistro,2683,4.5,Carrer  Gignas 21  Barcelona,Barcelona
175,Conesa Entrepans,912,4.5,Carrer de La Llibreteria 1 Barcelona,Barcelona
176,Restaurante Salamanca,4961,3.5,Almirall Cervera 34 Barcelona,Barcelona
177,The George Payne,1424,4.5,Plaza Urquinaona 5 Barcelona,Barcelona
178,Buenos Aires Grill Restaurant Eixample,3392,4.5,Carrer de València 189 Barcelona,Barcelona
179,Surf House Barcelona,1172,4.0,Carrer Almirall Aixada 22  Barcelona,Barcelona
180,B Burger,806,4.5,Carrer D  Arago 36  Barcelona,Barcelona
181,Micu Maku,1723,4.5,Carrer d Aribau 22  Barcelona,Barcelona
182,Disfrutar,1929,4.5,Carrer  Villarroel 163 Barcelona,Barcelona
183,Elsa y Fred,2776,4.5,Carrer del Rec Comtal 11 Barcelona,Barcelona
184,Tucco Real Food,1437,4.5,Carrer Consolat de Mar 23  Barcelona,Barcelona
185,Vegetalia Born,1192,4.5,Pl  Del Fossar de Les Moreres  Barcelona,Barcelona
186,Bilbao Berria,2553,4.0,Placa Nova 3 Barcelona,Barcelona
187,Paradiso,674,4.5,Carrer  Rera Palau 4  Barcelona,Barcelona
188,Tempura-Ya,374,4.5,Carrer MUNTANER 153 Barcelona,Barcelona
189,Lolita Taperia,805,4.5,Tamarit 104 Barcelona,Barcelona
190,La Taqueria,809,4.0,Passatge del Font 5  Barcelona,Barcelona
191,Bacoa Burger Ferran,1051,4.5,Carrer de Ferran 10 Barcelona,Barcelona
192,Restaurant Pelai,590,4.5,Carrer Tallers 62 Barcelona,Barcelona
193,BierCaB,745,4.5,Carrer De Muntaner 55  Barcelona,Barcelona
194,Rossini,4342,4.5,Plaza Real 13  Barcelona,Barcelona
195,Minamo,385,4.5,Bruc 65  Barcelona,Barcelona
196,Vrutal,609,5.0,Rambla del Poblenou No 16  Barcelona,Barcelona
197,Luigi Ristorante,1405,4.5,Roger de Lluria 50 Barcelona,Barcelona
198,Osmosis,1514,4.5,Aribau 100  Barcelona,Barcelona
199,Alba Granados,939,4.0,Enric Granados 34  Barcelona,Barcelona
200,Restaurante  Koh-i-noor india,725,4.5,Carrer del Marques de Campo Sagrado 3 Barcelona,Barcelona
201,Bacoa,663,4.5,Carrer de Colomines 2 Barcelona,Barcelona
202,Napoletani Restaurant,598,4.5,Diputacio 101  Barcelona,Barcelona
203,Buon Appetito,860,4.5,Av  Marques de la argentera 19 Barcelona,Barcelona
204,Restaurante Can Fusté,450,4.5,Gran via de Carlos III 52 Barcelona,Barcelona
205,Cu-Cut,793,4.5,Carrer Enric Granados 68  Barcelona,Barcelona
206,Caramba Tapas,651,4.5,Carrer de la Cera 57  Barcelona,Barcelona
207,Totoro,326,4.0,Carrer de la Legalitat 74 Barcelona,Barcelona
208,Parking Pizza,459,4.0,Carrer  Londres 98 Barcelona,Barcelona
209,Senyor Vermut,399,4.0,Provenca 85 Barcelona,Barcelona
210,Granja Petitbo,810,4.0,Passeig de Sant Joan 82 Barcelona,Barcelona
211,Sabes una cosa,334,4.5,Carrer  Tordera 52  Barcelona,Barcelona
212,Gatsby Barcelona,530,3.5,Carrer  Tuset 19  Barcelona,Barcelona
213,El Rincón,1298,4.5,Carrer del Carme 28 Barcelona,Barcelona
214,Xemei,645,4.0,Paseo De La Exposicion 85  Barcelona,Barcelona
215,Can Sole,829,4.0,Carrer  Sant Carles 4 Barcelona,Barcelona
216,El Argentino,1281,4.0,Arago 224  Barcelona,Barcelona
217,Ceviche 103,792,4.0,Carrer de Londres 103 Barcelona,Barcelona
218,Taller de Tapas - Argenteria,2183,4.0,Argenteria 51 Barcelona,Barcelona
219,El Nacional,5981,4.0,Paseo de Gracia 24 bis Barcelona,Barcelona
220,Restaurante Igueldo,696,4.5,Carrer  Rossello 186  Barcelona,Barcelona
221,Restaurant Ca L'Estevet,531,4.5,Carrer Valldonzella 46  Barcelona,Barcelona
222,Passadís del Pep,849,4.0,Pla del Palau 2 Barcelona,Barcelona
223,Nomo Galvany,498,4.0,Madrazo 135 Barcelona,Barcelona
224,La Venta,544,4.0,Plaza Doctor Andreu  Barcelona,Barcelona
225,Matsuri Sushi Bar,807,4.5,Plaça del Regomir 1  Barcelona,Barcelona
226,Aladdin restaurante,923,4.5,Avinguda de Gaudi 50 Barcelona,Barcelona
227,Monvinic,690,4.5,Diputacio 249 Barcelona,Barcelona
228,Mediterráneo Ristorante,562,4.5,Carrer de Josep Pla 19 Barcelona,Barcelona
229,Patagonia Beef & Wine,2050,4.5,Gran Via de Les Corts Catalanes 660 Barcelona,Barcelona
230,Güell Tapas,2215,4.5,Carrer Nou de la Rambla 20 Barcelona,Barcelona
231,Oval,759,4.0,Valencia 199  Barcelona,Barcelona
232,La Fabrica,953,4.5,Plaza la Llana 15 Barcelona,Barcelona
233,Bar La Plata,765,4.5,Mercè 28  Barcelona,Barcelona
234,Tucco Real Food Eixample,348,5.0,Carrer Consell de Cent 247 Barcelona,Barcelona
235,Pastelería Hofmann,592,4.5,Carrer dels Flassaders 44 Barcelona,Barcelona
236,La Caleta de Sants,466,4.5,Carretera de la Bordeta 54 Barcelona,Barcelona
237,Craft Barcelona,268,4.5,Carrer  Paradis 4  Barcelona,Barcelona
238,Gran Viana,504,5.0,Carrer Dels Escudellers 24  Barcelona,Barcelona
239,Hummus Barcelona Vegetarian Street Food,518,4.5,Valencia 227  Barcelona,Barcelona
240,Wok to Walk,1352,4.5,Carrer de Sant Pau 27 Barcelona,Barcelona
241,Shanghai,268,4.0,Bisbe Sivilla 48 Barcelona,Barcelona
242,Taps,1109,4.5,Carrer  Mare de Déu del Remei 53 Barcelona,Barcelona
243,Taverna El Glop,1506,4.0,Carrer  Sant Lluis 24  Barcelona,Barcelona
244,Mannà Gelats,1060,5.0,Carrer dels Banys Nous 22  Barcelona,Barcelona
245,Santa Rita Experience,497,5.0,Carrer de Veneçuela 16  Barcelona,Barcelona
246,Restaurante Fukamura,296,4.5,Carrer  Corsega 479  Barcelona,Barcelona
247,Sumac & Mambo,393,5.0,Carrer D enric Granados  Barcelona,Barcelona
248,Bar Rodrigo,1082,4.5,Argenteria 67  Barcelona,Barcelona
249,Tandoor,450,4.0,Carrer d Aragó 8 Barcelona,Barcelona
250,Tragaluz,1076,4.0,Passatge De La Concepcion Number 5 Barcelona,Barcelona
251,Can Ramonet,1220,3.5,Carrer  Maquinista 17 Barcelona,Barcelona
252,Acontraluz,398,3.5,Milanesat 19 Barcelona,Barcelona
253,Shoko,1485,3.5,Paseo Maritimo de la Barceloneta 36 Barcelona,Barcelona
254,Ocaña,1771,3.5,Plaça Reial 13 15 Barcelona,Barcelona
255,Aqui Quedamos,281,4.5,Violant D hongria Reina D arago 60 Barcelona,Barcelona
256,Monster Sushi,1176,4.5,Gala Placidia 25  Barcelona,Barcelona
257,EatMyTrip - Brunch & Bakery Barcelona,620,4.5,Carrer del Consell de Cent 378 Barcelona,Barcelona
258,Agreste de Fabio & Roser,292,4.5,Carrer Funoses Llussà 2  Barcelona,Barcelona
259,Spark,284,4.5,Carrer  Diputacion 329 Barcelona,Barcelona
260,BRO Room,358,4.5,Corsega 562  Barcelona,Barcelona
261,Karakala,383,4.5,Torrent de L  Olla 136 Barcelona,Barcelona
262,Akashi Gallery,347,4.5,Carrer Rossello 197 Barcelona,Barcelona
263,Gorria,567,4.5,Carrer  Diputación 421 Barcelona,Barcelona
264,La Lola de las Arenas,1754,4.0,cami ral  10   Barcelona,Barcelona
265,Pudding Barcelona,688,3.5,Carrer Pau Claris 90 Barcelona,Barcelona
266,La Poma Restaurant,2678,3.0,La Rambla 117  Barcelona,Barcelona
267,Bar Lobo,2893,4.0,Pintor Fortuny 3  Barcelona,Barcelona
268,Gelida,240,4.5,Carrer de la Diputació 133 Barcelona,Barcelona
269,Restaurante L'hortet,309,4.5,Pintor Fortuny 32 Barcelona,Barcelona
270,Tio Joe,282,4.5,Via Augusta 9  Barcelona,Barcelona
271,Hidden Cafe Barcelona,143,4.5,Carrer  Constança   Déu i Mata  Barcelona,Barcelona
272,Restaurante argentino El Calafate,258,4.5,Carrer  de Paris 145 Barcelona,Barcelona
273,Boa-Bao Barcelona,218,4.5,Plaça del Dr  Letamendi 1 Barcelona,Barcelona
274,Ziryab bar de tapas fusión mediterránea,1360,4.5,Carrer de Grunyi 5  Barcelona,Barcelona
275,De Paula L'hamburgueseria del Poble Sec,278,4.5,Creu Dels Molers 65 Barcelona,Barcelona
276,Semproniana,930,4.0,Rosselló 148  Barcelona,Barcelona
277,El Nacional - La Taperia,1643,4.0,Passeig de Gràcia 24 bis Barcelona,Barcelona
278,Cera 23,5097,4.5,Carrer de la Cera 23 Barcelona,Barcelona
279,Fonda Espanya Restaurante,1164,4.5,Carrer De Sant Pau 9 11  Barcelona,Barcelona
280,La Briciola,278,4.0,C  d Olzinelles 19  Barcelona,Barcelona
281,Llamber,2578,4.5,Carrer de la Fusina 5 Barcelona,Barcelona
282,Bistro Helena,1111,4.5,Via Laietana 30 Barcelona,Barcelona
283,La Mundana,644,4.5,Vallespir 93 Barcelona,Barcelona
284,Meson Barcelona,83,3.5,Rua  5 Vigo Barcelona,Barcelona
285,Can Kenji,660,4.5,Carrer Rossello 325  Barcelona,Barcelona
286,A Tu Bola,1391,4.5,Carrer de l Hospital 78 Barcelona,Barcelona
287,Blavis,864,5.0,Carrer Saragossa 85 Barcelona,Barcelona
288,Restaurante Spaccanapoli Barcelona,236,4.5,Carrer Del Rec Comtal 6 Barcelona,Barcelona
289,Mussol Aragó,1067,3.5,Carrer Arago 261 Barcelona,Barcelona
290,chök - Carme,1221,4.5,Carrer de Carme 3 Barcelona,Barcelona
291,Bodega Lito,1151,4.5,Carrer de Tamarit 91 Barcelona,Barcelona
292,La Fonda del Port Olimpic,3361,4.0,Moll Gregal 7 10 Barcelona,Barcelona
293,Takashi Ochiai Pastisseria,333,4.0,Comte d Urgell 110 Barcelona,Barcelona
294,La Royale,471,3.5,Placa del Camp 5 Barcelona,Barcelona
295,Oaxaca Cuina Mexicana - Restaurante y Mezcalería,692,3.5,Pla de Palau 19 Barcelona,Barcelona
296,Bierzo food,1309,4.5,Carrer de les Flors 16 Barcelona,Barcelona
297,Martinez,1581,3.5,Carretera de Miramar 38 Barcelona,Barcelona
298,Els Pescadors,880,3.5,Placa Prim 1  Barcelona,Barcelona
299,El Xalet de Montjuïc,942,3.5,Av  Miramar 31  Barcelona,Barcelona
300,La Bombeta,2167,4.0,Maquinista 3 Barcelona,Barcelona
301,Hard Rock Cafe,3960,4.0,Plaça Catalunya 21  Barcelona,Barcelona
302,DelaCrem,987,4.5,Enric Granados 15 17 Barcelona,Barcelona
303,Restaurante Contempo,502,4.5,Carrer  Bergara 9 Barcelona,Barcelona
304,Restaurante el Porvenir,404,4.5,Carrer  Villarroel  Restaurante el Porvenir 46 Barcelona,Barcelona
305,Tapas 24,4273,4.0,Carrer de la Diputacio 269 Barcelona,Barcelona
306,Churrería Laietana,993,5.0,Via Laietana 46  Barcelona,Barcelona
307,Xiringuito Escribà,2143,4.0,Avinguda Litoral 62 Barcelona,Barcelona
308,Sindur,423,4.5,Carrer  Còrsega 211 bis  Barcelona,Barcelona
309,Casa Alfonso,1480,4.0,Roger de Llúria 6 Barcelona,Barcelona
310,Miseria e Nobiltà,335,4.5,Carrer Besalú 46 Barcelona,Barcelona
311,La Real Hamburguesería,245,4.5,Carrer de Valencia 285  Barcelona,Barcelona
