,0
1303,anymore
1304,surprised
1305,answer
1306,requested
1307,please
1308,speak
1309,manager
1310,found
1311,waa
1312,manager
1313,moved
1314,screaming
1315,yelling
1316,behaving
1317,terrible
1318,person
1319,forgot
1320,service
1321,job
1322,left
1323,place
1324,never
1325,return
1326,dont
1327,waste
1328,time
1329,money
1330,place
1331,find
1332,instead
1333,better
1334,tapa
1335,place
1336,barcelona
1337,staff
1338,extremely
1339,friendly
1340,attentive
1341,first
1342,time
1343,trying
1344,tapa
1345,sure
1346,order
1347,waiter
1348,ordered
1349,u
1350,suggestion
1351,good
1352,dessert
1353,definitely
1354,coming
1355,back
1356,often
1357,concierge
1358,recommended
1359,place
1360,u
1361,ate
1362,every
1363,day
1364,whilst
1365,barcelona
1366,mainly
1367,lunch
1368,booking
1369,prepared
1370,rammed
1371,every
1372,day
1373,really
1374,rammed
1375,week
1376,end
1377,thought
1378,food
1379,fantastic
1380,represented
1381,fantastic
1382,value
1383,dish
1384,change
1385,daily
1386,thought
1387,great
1388,picture
1389,attached
1390,particular
1391,favourite
1392,cabreaos
1393,egg
1394,spicy
1395,egg
1396,bit
1397,play
1398,egg
1399,chip
1400,like
1401,euro
1402,tried
1403,menu
1404,particularly
1405,loved
1406,seafood
1407,tomato
1408,bread
1409,definitely
1410,coming
1411,back
1412,return
1413,barcelona
1414,perfect
1415,tapa
1416,incredible
1417,nothing
1418,else
1419,say
1420,gamba
1421,shrimp
1422,waiting
1423,time
1424,worth
1425,enjoy
1426,went
1427,dinner
1428,expunge
1429,quality
1430,received
1431,also
1432,ordered
1433,dish
1434,saying
1435,salat
1436,included
1437,arrived
1438,without
1439,explanation
1440,made
1441,meat
1442,bigger
1443,explains
1444,salad
1445,silly
1446,pricey
1447,fantastic
1448,tapa
1449,friendly
1450,stuff
1451,lucky
1452,space
1453,first
1454,time
1455,al
1456,quick
1457,day
1458,go
1459,wait
1460,min
1461,dinner
1462,eaten
1463,two
1464,three
1465,time
1466,many
1467,stay
1468,barcelona
1469,always
1470,happy
1471,choice
1472,decent
1473,menu
1474,always
1475,busy
1476,excellent
1477,sign
1478,diner
1479,still
1480,best
1481,place
1482,enjoy
1483,tapa
1484,must
1485,barcelona
1486,always
1487,great
1488,selection
1489,food
1490,still
1491,great
1492,quality
1493,went
1494,well
1495,pay
1496,lot
1497,atmosphere
1498,decoration
1499,food
1500,normal
1501,still
1502,hungry
1503,different
1504,dont
1505,really
1506,understand
1507,restaurant
1508,got
1509,come
1510,back
1511,go
1512,another
1513,restaurant
1514,eat
1515,main
1516,course
1517,first
1518,course
1519,coming
1520,since
1521,remember
1522,recommend
1523,anyone
1524,know
1525,visit
1526,barcelona
1527,place
1528,generally
1529,crowded
1530,long
1531,waiting
1532,line
1533,went
1534,week
1535,ago
1536,table
1537,spaced
1538,relaxed
1539,admitted
1540,quickly
1541,change
1542,due
1543,covid
1544,despite
1545,amazing
1546,worth
1547,food
1548,beyond
1549,incredible
1550,dinning
1551,experience
1552,fast
1553,paced
1554,many
1555,tapa
1556,ordered
1557,fun
1558,enjoyable
