,0
1439,tapas
1440,friendly
1441,stuff
1442,lucky
1443,space
1444,first
1445,time
1446,al
1447,quick
1448,day
1449,go
1450,wait
1451,min
1452,dinner
1453,eaten
1454,two
1455,three
1456,times
1457,many
1458,stays
1459,barcelona
1460,always
1461,happy
1462,choice
1463,decent
1464,menu
1465,always
1466,busy
1467,excellent
1468,sign
1469,diner
1470,still
1471,best
1472,place
1473,enjoy
1474,tapas
1475,must
1476,barcelona
1477,always
1478,great
1479,selection
1480,food
1481,still
1482,great
1483,quality
1484,went
1485,well
1486,pay
1487,lot
1488,atmosphere
1489,decoration
1490,food
1491,normal
1492,still
1493,hungry
1494,different
1495,really
1496,understand
1497,restaurant
1498,got
1499,come
1500,back
1501,go
1502,another
1503,restaurant
1504,eat
1505,main
1506,course
1507,first
1508,course
1509,coming
1510,since
1511,remember
1512,recommend
1513,anyone
1514,know
1515,visit
1516,barcelona
1517,place
1518,generally
1519,crowded
1520,long
1521,waiting
1522,line
1523,went
1524,week
1525,ago
1526,tables
1527,spaced
1528,relaxed
1529,admitted
1530,quickly
1531,changes
1532,due
1533,covid
1534,despite
1535,amazing
1536,worth
1537,food
1538,beyond
1539,incredible
1540,dinning
1541,experience
1542,fast
1543,paced
1544,many
1545,tapas
1546,ordered
1547,fun
1548,enjoyable
1549,exciting
1550,never
1551,stop
1552,recommending
1553,locals
1554,tourists
1555,heard
1556,immaculate
1557,reviews
1558,others
1559,definitely
1560,go
1561,oportunity
1562,seriously
1563,know
1564,start
1565,first
1566,time
1567,really
1568,suspicious
1569,rating
1570,tripadvisor
1571,earth
1572,restaurant
1573,like
1574,ratings
1575,mystery
1576,service
1577,really
1578,disgrace
1579,food
1580,ok
1581,nothing
1582,given
1583,menu
1584,printed
1585,paper
1586,printing
1587,black
1588,ink
1589,faded
1590,menu
1591,could
1592,read
1593,menu
1594,could
1595,see
1596,prizes
1597,told
1598,waiter
1599,showed
1600,menus
1601,like
1602,hahaha
1603,dishes
1604,menu
1605,description
1606,idea
1607,stuff
1608,sort
1609,detail
1610,chance
1611,ask
1612,waiter
1613,either
1614,constant
1615,hurry
1616,could
1617,minimal
1618,finally
1619,got
1620,food
1621,almost
1622,tossed
1623,table
1624,one
1625,time
1626,came
1627,behind
1628,scared
1629,spilled
1630,sangria
1631,clothes
1632,says
1633,worries
1634,dishes
1635,said
1636,something
1637,like
1638,tacos
1639,beef
1640,thought
1641,something
1642,tacos
1643,since
1644,dishes
1645,detail
1646,explanation
1647,got
1648,something
1649,anything
1650,tacos
1651,first
1652,thought
1653,gave
1654,us
1655,someday
1656,else
1657,dish
1658,explained
1659,dish
1660,said
1661,ok
1662,take
1663,even
1664,sorry
1665,suggestion
1666,something
1667,else
1668,took
1669,dish
1670,away
1671,without
1672,saying
1673,anything
1674,hahaha
1675,joke
1676,thing
1677,good
1678,dessert
1679,went
1680,away
1681,hungry
1682,laughing
1683,entire
1684,experience
1685,definitely
1686,first
1687,last
1688,time
1689,money
1690,go
1691,restaurants
1692,actually
1693,great
1694,plenty
1695,barcelona
1696,service
1697,wait
1698,remind
1699,time
1700,get
1701,water
1702,get
1703,wine
1704,get
1705,bread
1706,actually
1707,dont
1708,even
1709,serve
1710,flautos
1711,tomato
1712,sauce
1713,toilet
1714,supposed
1715,changing
1716,table
1717,kids
1718,use
1719,storage
1720,big
1721,restaurant
1722,couldnt
1723,change
1724,little
1725,girls
1726,diaper
1727,uncool
1728,especially
1729,didnt
1730,even
1731,try
1732,find
1733,us
1734,could
1735,get
1736,table
1737,without
1738,delicious
1739,tapas
1740,sirloin
1741,potatoes
1742,eggs
1743,tapas
1744,took
1745,maximum
1746,average
1747,quality
1748,expected
1749,much
1750,better
1751,many
1752,positive
1753,feedbacks
1754,wouldnt
1755,come
1756,back
1757,eat
1758,would
1759,nicer
1760,smaller
1761,bar
1762,restaurant
1763,care
1764,costumers
1765,good
1766,food
1767,traditional
1768,catalan
1769,great
1770,service
1771,fast
1772,recommend
1773,visit
1774,try
1775,catalan
1776,cream
1777,tomato
1778,bread
1779,tapas
1780,spent
1781,long
1782,weekend
1783,hotel
1784,nearby
1785,seven
1786,year
1787,old
1788,daughter
1789,ended
1790,breakfast
1791,every
1792,day
1793,great
1794,simple
1795,breakfast
1796,menu
1797,fantastically
1798,reasonable
1799,prices
1800,lunch
1801,one
1802,day
1803,us
1804,breakfast
1805,stole
1806,show
1807,always
1808,busy
1809,prepared
1810,wait
1811,bit
1812,worth
1813,us
1814,unbelievable
1815,get
1816,reservation
1817,new
1818,especially
1819,bin
1820,barcelona
1821,present
1822,full
1823,wo
1824,let
1825,sit
1826,absence
1827,customer
1828,already
1829,arranged
